Station,Latitude_in_deg_final,Longitude_in_deg_final,UTM_easting_in_meters_final,UTM_northing_in_meters_final,Height_above_WGS84_ellipsoid_in_meters_final,Height_above_unkown_geoid_in_meters_final,Start_Date,Start_Time,Stop_Date,Stop_Time,Orientation_from_true_North,Notes
N115,39.80390667,-119.00526670,328336.021,4407916.604,1240.036,1264.461,2016-03-10,00:17:35.562,2016-03-26,16:55:06.562,000,
N116,39.80426685,-119.00485140,328372.472,4407955.787,1240.346,1264.770,2016-03-10,00:25:27.712,2016-03-26,17:18:28.712,356,
N117,39.80484971,-119.00439290,328413.174,4408019.604,1241.711,1266.133,2016-03-10,00:33:31.202,2016-03-26,17:19:32.202,001,
N118,39.80522944,-119.00399220,328448.423,4408060.985,1242.079,1266.500,2016-03-11,00:58:23.222,2016-03-26,17:15:54.222,000,
N119,39.80581128,-119.00384490,328462.480,4408125.287,1243.333,1267.752,2016-03-11,00:45:45.400,2016-03-26,17:15:46.400,357,
N120,39.80630665,-119.00310360,328527.175,4408178.851,1246.272,1270.690,2016-03-10,23:42:57.248,2016-03-26,17:15:28.248,357,
N121,39.80680592,-119.00268000,328564.680,4408233.457,1248.328,1272.745,2016-03-10,23:48:40.048,2016-03-26,17:16:11.048,001,
N122,39.80739874,-119.00234730,328594.635,4408298.622,1248.381,1272.796,2016-03-10,23:53:31.528,2016-03-26,17:43:02.528,358,
N123,39.80771573,-119.00153190,328665.227,4408332.245,1248.738,1273.152,2016-03-11,00:02:31.918,2016-03-26,17:42:32.918,003,
N124,39.80832123,-119.00151840,328667.887,4408399.429,1248.491,1272.903,2016-03-11,00:19:13.658,2016-03-26,17:44:14.658,356,
N125,39.80878263,-119.00078310,328731.979,4408449.236,1249.880,1274.291,2016-03-11,00:36:23.650,2016-03-26,20:27:54.650,357,
N126,39.80927007,-119.00038240,328767.492,4408502.574,1250.533,1274.943,2016-03-10,22:43:07.368,2016-03-26,20:27:38.368,000,
N127,39.80984692,-118.99997090,328804.150,4408565.816,1251.644,1276.052,2016-03-10,22:48:45.854,2016-03-26,21:04:16.854,359,
