Channel,X,Y,Z
number,UTM [m],UTM [m],UTM [m]
501,327993.16,4407583.34,1229.883
502,327992.34,4407583.93,1229.844
503,327991.51,4407584.52,1229.804
504,327990.69,4407585.11,1229.767
505,327989.87,4407585.7,1229.734
506,327989.05,4407586.29,1229.706
507,327988.23,4407586.88,1229.683
508,327987.4,4407587.47,1229.663
509,327986.58,4407588.06,1229.646
510,327985.76,4407588.65,1229.634
511,327984.94,4407589.24,1229.625
512,327984.12,4407589.83,1229.621
513,327983.3,4407590.42,1229.618
514,327982.47,4407591.01,1229.615
515,327981.65,4407591.6,1229.612
516,327980.83,4407592.19,1229.608
517,327980.01,4407592.78,1229.604
518,327979.19,4407593.37,1229.6
519,327978.36,4407593.96,1229.592
520,327977.54,4407594.55,1229.581
521,327976.72,4407595.14,1229.568
522,327975.9,4407595.73,1229.552
523,327975.08,4407596.32,1229.534
524,327974.25,4407596.91,1229.513
525,327973.43,4407597.5,1229.489
526,327972.61,4407598.09,1229.465
527,327971.79,4407598.68,1229.441
528,327970.97,4407599.27,1229.418
529,327970.14,4407599.86,1229.394
530,327969.32,4407600.45,1229.371
531,327968.5,4407601.04,1229.347
532,327967.68,4407601.63,1229.324
533,327966.86,4407602.22,1229.3
534,327966.03,4407602.81,1229.277
535,327965.21,4407603.4,1229.254
536,327964.39,4407603.99,1229.233
537,327963.57,4407604.58,1229.211
538,327962.75,4407605.17,1229.191
539,327961.93,4407605.76,1229.172
540,327961.1,4407606.35,1229.153
541,327960.28,4407606.94,1229.134
542,327959.46,4407607.53,1229.115
543,327958.64,4407608.12,1229.097
544,327957.82,4407608.71,1229.078
545,327956.99,4407609.3,1229.059
546,327956.17,4407609.89,1229.04
547,327955.35,4407610.47,1229.021
548,327954.53,4407611.07,1229.002
549,327953.71,4407611.66,1228.984
550,327952.88,4407612.25,1228.965
551,327952.06,4407612.84,1228.947
552,327951.24,4407613.43,1228.93
553,327950.42,4407614.01,1228.912
554,327949.6,4407614.61,1228.895
555,327948.77,4407615.19,1228.878
556,327947.95,4407615.78,1228.86
557,327947.13,4407616.37,1228.843
558,327946.31,4407616.96,1228.826
559,327945.49,4407617.55,1228.809
560,327944.66,4407618.14,1228.792
561,327943.84,4407618.73,1228.776
562,327943.02,4407619.32,1228.764
563,327942.2,4407619.91,1228.757
564,327941.38,4407620.5,1228.754
565,327940.55,4407621.09,1228.754
566,327939.73,4407621.68,1228.756
567,327938.91,4407622.27,1228.758
568,327938.09,4407622.86,1228.76
569,327937.27,4407623.45,1228.763
570,327936.45,4407624.04,1228.766
571,327935.62,4407624.63,1228.77
572,327934.8,4407625.22,1228.774
573,327933.98,4407625.81,1228.779
574,327933.16,4407626.4,1228.784
575,327932.34,4407626.99,1228.79
576,327931.51,4407627.58,1228.797
577,327930.69,4407628.17,1228.795
578,327931.33,4407629.02,1228.766
579,327931.96,4407629.87,1228.738
580,327932.6,4407630.73,1228.709
581,327933.23,4407631.58,1228.681
582,327933.87,4407632.43,1228.652
583,327934.5,4407633.28,1228.624
584,327935.14,4407634.13,1228.595
585,327935.77,4407634.98,1228.567
586,327936.41,4407635.83,1228.538
587,327937.04,4407636.68,1228.51
588,327937.68,4407637.54,1228.481
589,327938.31,4407638.39,1228.453
590,327938.95,4407639.24,1228.424
591,327939.58,4407640.09,1228.397
592,327940.22,4407640.94,1228.392
593,327940.85,4407641.79,1228.401
594,327941.49,4407642.64,1228.411
595,327942.12,4407643.5,1228.421
596,327942.76,4407644.35,1228.431
